source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
897,UP140,Ramlali Patel Shaikshik Vikas Sansthan,"Ramlali Patel Shaikshik Vikas Sansthan, | Village Kherwa Posat Purbawa, | Dist Hardoi- 241303 UP",Uttar Pradesh,100,125.63,listed_in_2026-02-04_register; current_activity_not_assessed
898,UP141,Amar Jyoti Sansthan,"Amar Jyoti Sansthan, | Vill-Kirtupur, Po Mohammaddalla, Teh- Sadat, Dist- | Azamgarh, Uttar Pradesh",Uttar Pradesh,100,205.55,listed_in_2026-02-04_register; current_activity_not_assessed
899,UP142,Shree Chandra Bhan Singh Degree college Village- Chandpur,"Shree Chandra Bhan Singh Degree college Village- | Chandpur, Post- Gonapur, Police Station Sikarara Dist- | Jaunpur UP-222131",Uttar Pradesh,100,278.27,listed_in_2026-02-04_register; current_activity_not_assessed
900,UP143,Integrated Institute of Rehab. for the Disabled (Viklang Punarwas Sansthan),"Integrated Institute of Rehab. for the Disabled (Viklang | Punarwas Sansthan), | 376, Jangjeet Nagar, Rajpur Chungi, Shamshabad Road, | District – Agra, Uttar .Pradesh-282001",Uttar Pradesh,100,349.31,listed_in_2026-02-04_register; current_activity_not_assessed
901,UP144,Purvanchal Shiksha Samiti,"Purvanchal Shiksha Samiti, Vill- Manchobha, PO-Kakrahta, | Dist-Azamgarh UP",Uttar Pradesh,100,406.91,listed_in_2026-02-04_register; current_activity_not_assessed
902,UP145,Gopinath P.G. College,"Gopinath P.G. College, | Dwali Salamatpur, Ghazipur, UP- 275201",Uttar Pradesh,100,460.19,listed_in_2026-02-04_register; current_activity_not_assessed
903,UP146,Sri Maruti College of Research and Rehabiitation,"Sri Maruti College of Research and Rehabiitation, | 40A/34, Elgin Road, Civil Lines, Allhabad-U.P.",Uttar Pradesh,100,491.03,listed_in_2026-02-04_register; current_activity_not_assessed
904,UP147,Maa Bhawani Mahila Mahavidyalaya,"Maa Bhawani Mahila Mahavidyalaya, | Sogai, Dist- Chandauli U.P.",Uttar Pradesh,100,526.55,listed_in_2026-02-04_register; current_activity_not_assessed
905,UP148,Samarpan Badhir Vidyalaya,"Samarpan Badhir Vidyalaya, | 25, Krishnana Kunj, Kalindi Puram, Mau Road, Khandari, | Agra-282005",Uttar Pradesh,100,552.23,listed_in_2026-02-04_register; current_activity_not_assessed
906,UP149,Bhartiya Chauhan Samiti,"Bhartiya Chauhan Samiti, | Vill- Balrampur, PO- Pathakhauli, Dadar, Dist- Azamgarh-UP-",Uttar Pradesh,100,623.27,listed_in_2026-02-04_register; current_activity_not_assessed
907,UP150,Janka Devi Institute,"Janka Devi Institute, | Near Basant Lal Budhewar Chouraha Mohan Road, Lucknow, | Uttar Pradesh - 226017",Uttar Pradesh,100,690.23,listed_in_2026-02-04_register; current_activity_not_assessed
908,UP151,Gaya Prasad Educational Trust,"Gaya Prasad Educational Trust, | Infront of Malihabad Railway Station, Malihabad Lucknow- | 227111, UP",Uttar Pradesh,100,725.75,listed_in_2026-02-04_register; current_activity_not_assessed
909,UP152,Jainath Memorial Rehabilitation Sansthan Harairampur,"Jainath Memorial Rehabilitation Sansthan Harairampur, | Post- Chirkihit, Lalganj, Azamgarh- 276202 UP",Uttar Pradesh,100,761.27,listed_in_2026-02-04_register; current_activity_not_assessed
910,UP153,Ram Murat Smarak Shikshan Seva Sameeti Vill - Basirhan,"Ram Murat Smarak Shikshan Seva Sameeti Vill - Basirhan, | Post- Gambhirpur, District – Azamgarh, Uttar Pradesh",Uttar Pradesh,101,90.11,listed_in_2026-02-04_register; current_activity_not_assessed
911,UP154,Shree Mahavir College of Education Vill- Rajpur Kotla,"Shree Mahavir College of Education | Vill- Rajpur Kotla, Tehsil and Dist- Firozabad, UP",Uttar Pradesh,101,143.39,listed_in_2026-02-04_register; current_activity_not_assessed
912,UP155,Kaushik Mahavidyalaya Vill- Surwat,"Kaushik Mahavidyalaya | Vill- Surwat, Post- Pali, Teh-Kasimabad, Dist- Ghazipur, UP",Uttar Pradesh,101,178.91,listed_in_2026-02-04_register; current_activity_not_assessed
913,UP156,National Association for the Blind,"National Association for the Blind, | Asharphi Bhawan Chouraha, | MO. Katra Baba, Haridas Nagar Colony, Ayodhya, Faizabad- | UP- 224123",Uttar Pradesh,101,232.19,listed_in_2026-02-04_register; current_activity_not_assessed
914,UP157,Shanti Niketan College of Business Management and Computer Science,"Shanti Niketan College of Business Management and | Computer Science, | NH-3 Agra Gwalior Road Tehra Kheragarh, UP",Uttar Pradesh,101,301.19,listed_in_2026-02-04_register; current_activity_not_assessed
915,UP158,Chandan Memorial Viklang Vikas Samitee Deep Special Teachers Training Centre,"Chandan Memorial Viklang Vikas Samitee Deep Special | Teachers Training Centre, | Maluli Pulia, Gosain Ganj, Sultanpur Road, Lucknow -226501",Uttar Pradesh,101,335.63,listed_in_2026-02-04_register; current_activity_not_assessed
916,UP159,Prema Institute for Special Education,"Prema Institute for Special Education, | Vill- Achhiya, Post- Menhdawal, Dist- Sant Kabir Nagar, UP-",Uttar Pradesh,101,388.43,listed_in_2026-02-04_register; current_activity_not_assessed
917,UP160,Shree Mahavir College Vill- Chittrai,"Shree Mahavir College | Vill- Chittrai, Tehsil- Tundla and District - | Firozabad, Uttar Pradesh",Uttar Pradesh,101,422.39,listed_in_2026-02-04_register; current_activity_not_assessed
918,UP161,Balwanti Devi Rehabilitaition Institute Satheri Bitawdha,"Balwanti Devi Rehabilitaition Institute | Satheri Bitawdha, Muzaffarnagar, Uttar Pradesh | M-",Uttar Pradesh,101,457.91,listed_in_2026-02-04_register; current_activity_not_assessed
919,UP162,Gyanodaya Samekit Sansthan (Branch Ambedkar Nagar) Alipur,"Gyanodaya Samekit Sansthan (Branch Ambedkar Nagar) | Alipur, Surhupur Road, Jalalpur, Ambedkar Nagar, | U.P. -224149",Uttar Pradesh,101,520.07,listed_in_2026-02-04_register; current_activity_not_assessed
920,UP163,Maa Yashoda Memorial Shikshak Prashikshan Sansthan,"Maa Yashoda Memorial Shikshak Prashikshan Sansthan, | Vill- Purwa Malihabad, Lucknow 226102",Uttar Pradesh,101,619.43,listed_in_2026-02-04_register; current_activity_not_assessed
921,UP164,Samarpan Institute of Nursing & Paramedical (Run By Akshay Sewa Sansthan),"Samarpan Institute of Nursing & Paramedical (Run By | Akshay Sewa Sansthan), 1056, Goyla, Jainabad, Near | Telco-Uptron Chauraha, Chinhat Dewa Road, Lucknow - | 226028",Uttar Pradesh,101,654.95,listed_in_2026-02-04_register; current_activity_not_assessed
922,UP165,Shri Krishna Shikshan Prashikshan Sansthan,"Shri Krishna Shikshan Prashikshan Sansthan, Hasanur, | Balipur, Chandauli,Uttar Pradesh 232104",Uttar Pradesh,101,701.51,listed_in_2026-02-04_register; current_activity_not_assessed
923,UP166,Medha Vishesh Shikshan Prakshikshan Sansthan,"Medha Vishesh Shikshan Prakshikshan Sansthan, | Gauri Bazar, Deoria, Uttar Pradesh",Uttar Pradesh,101,737.15,listed_in_2026-02-04_register; current_activity_not_assessed
924,UP167,Vageshwari Shikshan Sansthan Mahavidyalaya Mayil Dist- Deoria,"Vageshwari Shikshan Sansthan Mahavidyalaya | Mayil Dist- Deoria, Uttar Pradesh -274505",Uttar Pradesh,102,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
925,UP169,Harshit Foundation 6KM,"Harshit Foundation | 6KM, Mile Stone, Lucknow Road, Kulhanamu, | Jaunpur, Uttar Pradesh",Uttar Pradesh,102,152.27,listed_in_2026-02-04_register; current_activity_not_assessed
926,UP170,Jeevandhara Rehabilitation Research Institute,"Jeevandhara Rehabilitation Research Institute, | Jeevandhara Complex, Above Central Bank of India, | Shyamganj Crossing Bareilly, Uttar Pradesh- 243005",Uttar Pradesh,102,181.07,listed_in_2026-02-04_register; current_activity_not_assessed
927,UP171,Ram Lali Smarak Vikas Sansthan,"Ram Lali Smarak Vikas Sansthan, | 632 OBLQ 61, Sanatan Nagar (Kamta) Chinhat, Lucknow, | Uttar Pradesh-226028",Uttar Pradesh,102,234.35,listed_in_2026-02-04_register; current_activity_not_assessed
928,UP172,Divya College of Special Education,"Divya College of Special Education, | Vill- Mahuawa, Tappa Kathra, Pargana-Haveli Tehsil | Maharajganj Uttar Pradesh",Uttar Pradesh,102,294.47,listed_in_2026-02-04_register; current_activity_not_assessed
929,UP173,Rajkumari Shikshan Awam Prashikshan Kendra,"Rajkumari Shikshan Awam Prashikshan Kendra, | Majhwara, Mau, Uttar Pradesh",Uttar Pradesh,102,336.23,listed_in_2026-02-04_register; current_activity_not_assessed
930,UP174,Shri Durga Ji Hospital Seva Sansthan,"Shri Durga Ji Hospital Seva Sansthan, | Village- Sehda. Post Maharajpur, Distt-Azamgarh, Uttar | Pradesh-276135.",Uttar Pradesh,102,380.63,listed_in_2026-02-04_register; current_activity_not_assessed
931,UP175,Army Institute of Education,"Army Institute of Education, | Plot M-1 Pocket P-5 Sector Chi Greater Noida Dist- Gautam | Budh Nagar,Uttar Pradesh-201306",Uttar Pradesh,102,415.67,listed_in_2026-02-04_register; current_activity_not_assessed
932,UP176,Dr. RPS Institute of Education Village-Nahil Nagariya,"Dr. RPS Institute of Education | Village-Nahil Nagariya, Post- Bara Gaon, Tehsil- Ghiror, Dist- | Mainpuri",Uttar Pradesh,102,441.71,listed_in_2026-02-04_register; current_activity_not_assessed
933,UP177,Composite Regional Centre for skill Development,"Composite Regional Centre for skill Development, | Rehabilitation & Empowerment of PWDs, | 10, Sitapur Eye Hospital, Park Street, Civil Lines, Gorakhpur, | Uttar Pradesh -273009",Uttar Pradesh,102,494.99,listed_in_2026-02-04_register; current_activity_not_assessed
934,UP178,Maharishi Dayanand Rehabilitation Institute,"Maharishi Dayanand Rehabilitation Institute, | Ogipur, Aligarh – 202132 Uttar Pradesh",Uttar Pradesh,102,574.91,listed_in_2026-02-04_register; current_activity_not_assessed
935,UP179,Adarsh Sewa Samiti,"Adarsh Sewa Samiti, | Paliya Pashchim Jagdishpur, address musafirkhana, Dist- | Amethi, -227813 Uttar Pradesh",Uttar Pradesh,102,637.07,listed_in_2026-02-04_register; current_activity_not_assessed
936,UP180,J.M.C. Institute of Divyangjan (J.M.C. Degree College) 166 Civil Lines,"J.M.C. Institute of Divyangjan (J.M.C. Degree College) | 166 Civil Lines, District-Meerut, Uttar Pradesh",Uttar Pradesh,102,699.23,listed_in_2026-02-04_register; current_activity_not_assessed
937,UP181,Parvarish School,"Parvarish School, | B-184 Raidas Mandir Nriala Nagar, Luckow , Uttar Pradesh - | 226020",Uttar Pradesh,102,734.75,listed_in_2026-02-04_register; current_activity_not_assessed
938,UP182,Mansoori Academy,"Mansoori Academy, | C/o Nirmal Public Sr. Sec. School, Dhampur Road, Noorpur, | Dist-Bijnor Uttar Pradesh-246734",Uttar Pradesh,102,787.55,listed_in_2026-02-04_register; current_activity_not_assessed
939,UP183,Mamata Shiksha Samiti Radhika Vihar,"Mamata Shiksha Samiti Radhika Vihar, Sonkh Road, Mandi | Chauraha, Mathura Uttar Pradesh-281004",Uttar Pradesh,103,111.11,listed_in_2026-02-04_register; current_activity_not_assessed
940,UP184,Maa Ganga Devi Divyang Seva Sansthan,"Maa Ganga Devi Divyang Seva Sansthan, | Laxmanpur (Lakhipur), Post- Khaga, Dist- Fatehpur, Uttar | Pradesh – 212655",Uttar Pradesh,103,176.99,listed_in_2026-02-04_register; current_activity_not_assessed
941,UP185,Vaishishtyam Teacher’s Training Institute,"Vaishishtyam Teacher’s Training Institute, Param Shakti | Peeth, Vatsalya Gram, Mathura Virndavan, Uttar Pradesh – | 281003",Uttar Pradesh,103,227.75,listed_in_2026-02-04_register; current_activity_not_assessed
942,UP186,Divyang Kalyanam Institute for Rehabilitation,"Divyang Kalyanam Institute for Rehabilitation, Post- Kota, | Village – Mahamauni, Mursan, Hathras, Uttar Pradesh",Uttar Pradesh,103,288.35,listed_in_2026-02-04_register; current_activity_not_assessed
943,UP187,Divya Chetna Educational Institute,"Divya Chetna Educational Institute, | (Run by Baba Yamandeep alp Shiksha Samiti) Taiyapur | Laxmi Nagar, Taiyapur, Mathura Uttar Pradesh",Uttar Pradesh,103,354.23,listed_in_2026-02-04_register; current_activity_not_assessed
944,UP188,Agra Deaf Education Foundation Naglra Kans Wala Road,"Agra Deaf Education Foundation | Naglra Kans Wala Road, aon Bans Mahapat Malhela, Kundol, | Agra -283111",Uttar Pradesh,103,419.15,listed_in_2026-02-04_register; current_activity_not_assessed
945,UP189,Kanav Institute of Education,"Kanav Institute of Education, Noorupur Amroha Road Opp | Bus Stop, Vill and Post Pheena Tehsil Chandpur, | Block Noorpur, Bijnor, Uttar Pradesh – 246734",Uttar Pradesh,103,467.75,listed_in_2026-02-04_register; current_activity_not_assessed
946,UP190,Indu Institute of Education Mustafabad Road,"Indu Institute of Education Mustafabad Road, Shikohabad, | Janpad, District – Firozabad Uttar Pradesh",Uttar Pradesh,103,520.07,listed_in_2026-02-04_register; current_activity_not_assessed
947,UP191,Kamla Prashikshan Sansthan (Run by Gyan shiksha Samiti,"Kamla Prashikshan Sansthan | (Run by Gyan shiksha Samiti, Azamgarh) Village and Post- | Utraula, Distrcit – Balrampur Uttar Pradesh – 271604",Uttar Pradesh,103,563.51,listed_in_2026-02-04_register; current_activity_not_assessed
948,UP192,Riya International College,"Riya International College, | Kaliyanpur G.T. Road Aligarh | Village Kaliyanpur Post Khera Narayan Singh Aligarh, Uttar | Pradesg 202121",Uttar Pradesh,103,612.11,listed_in_2026-02-04_register; current_activity_not_assessed
949,UP193,Samarpan Sansthan 7-V Shastri Nagar,"Samarpan Sansthan | 7-V Shastri Nagar, District - Ghazipur, Uttar Pradesh -233001",Uttar Pradesh,103,661.31,listed_in_2026-02-04_register; current_activity_not_assessed
950,UP194,Bajrang Shiksha Samiti Vill & Post Gaddopur Bilariyaganj,"Bajrang Shiksha Samiti | Vill & Post Gaddopur | Bilariyaganj, Azamgarh, Uttar Pradesh 276121 T.No.:",Uttar Pradesh,103,702.59,listed_in_2026-02-04_register; current_activity_not_assessed
951,UP195,Society for Institute of Pscyhological Research and Health Bhawalpur Wasil,"Society for Institute of Pscyhological Research and | Health | Bhawalpur Wasil, PO- Sarkara Kamal, District Sambhal Uttar | Pradesh 244304",Uttar Pradesh,103,743.87,listed_in_2026-02-04_register; current_activity_not_assessed
952,UP196,C.B.S.M. Pratapgarh-shukulpur,"C.B.S.M. Pratapgarh-shukulpur, Dahilamau, Pratapgarh, | Opp-FCI Godown, Uttar Pradesh -230001",Uttar Pradesh,103,789.35,listed_in_2026-02-04_register; current_activity_not_assessed
953,UP197,Samarth Foundation Ghusiya Gopiganj,"Samarth Foundation | Ghusiya Gopiganj, Bhadohi Uttar Pradesh",Uttar Pradesh,104,97.43,listed_in_2026-02-04_register; current_activity_not_assessed
954,UP198,Maharshi Baba Gulu Das Ganga Sagar Shikshan Prashikshan Sewa Shanstan,"Maharshi Baba Gulu Das | Ganga Sagar Shikshan Prashikshan Sewa Shanstan, Vill- | shahamuhammadpur | Post- Chandrawar, Dist- Ballia Uttar Pradesh",Uttar Pradesh,104,130.91,listed_in_2026-02-04_register; current_activity_not_assessed
955,UP199,S.B.M. Teacher Training & Rehab. Centre Delhi- Saharanpur road,"S.B.M. Teacher Training & Rehab. Centre Delhi- | Saharanpur road, Near New Block, Dist- Baghpat, Uttar | Pradesh-250611",Uttar Pradesh,104,182.75,listed_in_2026-02-04_register; current_activity_not_assessed
956,UP200,Swami Omanand Sarasvati Special Education and Training Institute,"Swami Omanand Sarasvati Special Education and | Training Institute, | Nehtaur Dhampur Road Village Kashmiri Post Nehtaur Dist- | Bijnor, Uttar Pradesh 246733",Uttar Pradesh,104,239.75,listed_in_2026-02-04_register; current_activity_not_assessed
957,UP201,Akhil Bhartiya Institute of Rehabilitation Bharatpur Road,"Akhil Bhartiya Institute of Rehabilitation | Bharatpur Road, Mathura Uttar Pradesh – 281001",Uttar Pradesh,104,296.27,listed_in_2026-02-04_register; current_activity_not_assessed
958,UP202,Baba Gilasu Smarak shikshan Sewa Sanstha Bhandari Nagara,"Baba Gilasu Smarak shikshan Sewa Sanstha | Bhandari Nagara, Ballia, Uttar Pradesh – 221711",Uttar Pradesh,104,344.39,listed_in_2026-02-04_register; current_activity_not_assessed
959,UP203,Babu Vishnu Pratap Singh Smarak Mahavidyalaya Babhanauli Barwa Bazar,"Babu Vishnu Pratap Singh Smarak Mahavidyalaya | Babhanauli Barwa Bazar, | Dist- Kushinagar Uttar Pradesh – 274305",Uttar Pradesh,104,378.35,listed_in_2026-02-04_register; current_activity_not_assessed
960,UP204,Sarvangeen Netraheen Evam Viklang Kalyan Samiti C/o Kishan Sharma,"Sarvangeen Netraheen Evam Viklang Kalyan Samiti | C/o Kishan Sharma, House No. – 5 | Gali No. 3 Near Ice Factory, Etah Road, Tundla, Firozabad, | Uttar Pradesh 283202",Uttar Pradesh,104,430.67,listed_in_2026-02-04_register; current_activity_not_assessed
961,UP205,Sampata Parents and Guardians Association of Mentally Challenged Persons Plot No. 777 & 781,"Sampata Parents and Guardians Association of Mentally | Challenged Persons | Plot No. 777 & 781, Raebareli, Uttar Prades - 229301",Uttar Pradesh,104,493.55,listed_in_2026-02-04_register; current_activity_not_assessed
962,UP206,Disha College of Special Education Near Gurunanak Dharmshala,"Disha College of Special Education | Near Gurunanak Dharmshala, Ajadpura Lalitpur Uttar | Pradesh -284403",Uttar Pradesh,104,539.03,listed_in_2026-02-04_register; current_activity_not_assessed
963,UP207,Shishu Evam Mahila Kalyan Prashikshan Sansthan,"Shishu Evam Mahila Kalyan Prashikshan Sansthan, | 545/K/N.K./646/ Govindnagar, Para, Lucknow- 226011, Uttar | Pradesh",Uttar Pradesh,104,593.39,listed_in_2026-02-04_register; current_activity_not_assessed
964,UP208,Shivanand Anand Madhav Mahavidhyalaya,"Shivanand Anand Madhav Mahavidhyalaya, | Nagla Ball Sirsaganj, District Firozabad, Uttar Pradesh- | 283151",Uttar Pradesh,104,646.19,listed_in_2026-02-04_register; current_activity_not_assessed
965,UP209,Shri Vikrama Chaubey S.M. Rehab Vidyalaya Vill-Deva,"Shri Vikrama Chaubey S.M. Rehab Vidyalaya | Vill-Deva, Post- Dullapur, | Dist-Ghazipur, Uttar Pradesh-275202",Uttar Pradesh,104,691.67,listed_in_2026-02-04_register; current_activity_not_assessed
966,UP210,Paras Muni Shiksha Awam Samaj Seva Sansthan Trust Vill- Rakauli,"Paras Muni Shiksha Awam Samaj Seva Sansthan Trust | Vill- Rakauli, Post- Bahadurganj, Distt- Mau, Uttar Pradesh- | 275101",Uttar Pradesh,104,739.79,listed_in_2026-02-04_register; current_activity_not_assessed
967,UP211,Shri Ram Lakhan Lal College of special Education,"Shri Ram Lakhan Lal College of special Education | Shanichara Bazar, Sant Kabir Nagar, Uttar Pradesh-272162",Uttar Pradesh,104,787.91,listed_in_2026-02-04_register; current_activity_not_assessed
968,UP212,Om Maa Aadi Shakti Rehab Institute of Education Village - Dewa,"Om Maa Aadi Shakti Rehab Institute of Education | Village - Dewa, Post- Dullahapur, Dist- Ghazipur Uttar | Pradesh-275202",Uttar Pradesh,105,126.71,listed_in_2026-02-04_register; current_activity_not_assessed
969,UP213,Maa Asharfi Shikshan Seva Samiti Village - Jafarpur,"Maa Asharfi Shikshan Seva Samiti Village - Jafarpur, Post- | Bisham, Tehsil- Mehnagar, | District - Azamgarh, Uttar Pradesh - 276205",Uttar Pradesh,105,175.79,listed_in_2026-02-04_register; current_activity_not_assessed
970,UP214,Umang Foundation House No. 51,"Umang Foundation | House No. 51, Bateshwar Road, Shikohabad Dist- Firozabad, | Uttar Pradesh-283203",Uttar Pradesh,105,217.55,listed_in_2026-02-04_register; current_activity_not_assessed
971,UP215,Dr. Ram Murti Prasad Mishra Training Institute ( Run by Dr. Ram Murti Prasad Mishra Gita Foundation) Vill - Harehu,"Dr. Ram Murti Prasad Mishra Training Institute ( Run by | Dr. Ram Murti Prasad Mishra Gita Foundation) | Vill – Harehu, Post- Balua, Dist- Varanasi, Uttar Pradesh- | 221201",Uttar Pradesh,105,280.43,listed_in_2026-02-04_register; current_activity_not_assessed
972,UP216,Aanchal Foundation House No. 1103,"Aanchal Foundation | House No. 1103, Near Shiv Mandir, Adarsh Nagar, | shikohabad, Firozabad, Uttar Pradesh – 283135",Uttar Pradesh,105,343.79,listed_in_2026-02-04_register; current_activity_not_assessed
973,UP217,Maa Gomti Kalyan Seva Samiti,"Maa Gomti Kalyan Seva Samiti, | SS-II, 1630, Sector – D1, L.D.A. Colony, Kanpur Road, | Lucknow-226012",Uttar Pradesh,105,387.23,listed_in_2026-02-04_register; current_activity_not_assessed
974,UP218,Om Shikshan Seva Sansthan,"Om Shikshan Seva Sansthan, | Vill + Post- Jajauli No. 2, | Dist-Ballia, Uttar Pradesh-221716",Uttar Pradesh,105,431.63,listed_in_2026-02-04_register; current_activity_not_assessed
975,UP219,Sushil Vishesh Shikshan Sansthan (Run by Adarsh Aacharya Kulam Trust) Vill & Post-Kajha Khurd,"Sushil Vishesh Shikshan Sansthan | (Run by Adarsh Aacharya Kulam Trust) Vill & Post-Kajha | Khurd, | Dist- Mau , Uttar Pradesh 276403",Uttar Pradesh,105,497.51,listed_in_2026-02-04_register; current_activity_not_assessed
976,UP220,Shri Rajroop Memorial Foundation Evam Educational Trust,"Shri Rajroop Memorial Foundation Evam Educational | Trust, | Village- Harpur Beelhi, Post- Tamkhuhiraj District- Kushi | Nagar – 274407",Uttar Pradesh,105,549.23,listed_in_2026-02-04_register; current_activity_not_assessed
977,UP221,Dr. S. R. Sharma Institute of Rehabilitation and Research Aegis of Adhunik Vidya Mandir Avm Junior High School Samiti 83-shyam Nagar Etawah,"Dr. S. R. Sharma Institute of Rehabilitation and Research | Aegis of Adhunik Vidya Mandir Avm Junior High School | Samiti | 83-shyam Nagar Etawah, Uttar Pradesh – 206001",Uttar Pradesh,105,602.03,listed_in_2026-02-04_register; current_activity_not_assessed
978,UP222,Anuragi Devi Mahavidyalay Vill- Bahuas,"Anuragi Devi Mahavidyalay | Vill- Bahuas, Post- Singhari Bazar | Dist- Kushinagar, Uttar Pradesh – 274301",Uttar Pradesh,105,653.87,listed_in_2026-02-04_register; current_activity_not_assessed
979,UP223,Shri Baijnath Girls Institute of Education and Management Aladadpur Post Trivediganj,"Shri Baijnath Girls Institute of Education and | Management Aladadpur Post Trivediganj, Dist- Barabanki | Uttar Pradesh-225126",Uttar Pradesh,105,698.39,listed_in_2026-02-04_register; current_activity_not_assessed
980,UP224,Sri Sai Baba Teachers Training Institute of Special Education 692,"Sri Sai Baba Teachers Training Institute of Special | Education | 692, Dwivedi Nagar in front of Paharpur Chungi, | Naubasta, Kanpur, Uttar Pradesh-208021",Uttar Pradesh,105,742.31,listed_in_2026-02-04_register; current_activity_not_assessed
981,UP225,Swami Ramananad Rehab Shikshan Prashikshan Sansthan,Swami Ramananad Rehab Shikshan Prashikshan | Sansthan,Uttar Pradesh,105,789.47,listed_in_2026-02-04_register; current_activity_not_assessed
982,UP226,Rainbow School for Special Education Nandganj,"Rainbow School for Special Education Nandganj, | Ghazipur, Uttar Pradesh – 233302",Uttar Pradesh,106,120.47,listed_in_2026-02-04_register; current_activity_not_assessed
983,UP227,Swami Vivekanand Institute for Empowerment of Persons with Disabilities,"Swami Vivekanand Institute for Empowerment of | Persons with Disabilities, | Ghat Road, Rourki Delhi Bypass, Meerut Uttar Pradesh- | 250001",Uttar Pradesh,106,168.59,listed_in_2026-02-04_register; current_activity_not_assessed
984,UP228,Kaivalya Foundation,"Kaivalya Foundation, | Shan City Near C.R.C. Mohan Road, Lucknow, Uttar Pradesh",Uttar Pradesh,106,221.39,listed_in_2026-02-04_register; current_activity_not_assessed
985,UP229,Tathya Rehabilitation Education Disabled Institute,"Tathya Rehabilitation Education Disabled Institute, | Run by Kamla Sikshan Sansthan, Gopal Ganj, Mathura, | Bateshwar Road, Shikohabad, Firozabad, Uttar Pradesh- | 225201",Uttar Pradesh,106,266.39,listed_in_2026-02-04_register; current_activity_not_assessed
986,UP230,Ayoush College of Special Education,"Ayoush College of Special Education, RIER Campus, | Jaitupur, Malik Mau, Raibareli, Uttar Pradesh 209010",Uttar Pradesh,106,323.39,listed_in_2026-02-04_register; current_activity_not_assessed
987,UP231,Children Choice Shikshan Sewa Samiti,"Children Choice Shikshan Sewa Samiti, | Vill- Newada Sambhupur, Post-Bibipur, Tehsil- Nizamabad, | Distt- Azamgarh Uttar Pradesh- 276135",Uttar Pradesh,106,366.83,listed_in_2026-02-04_register; current_activity_not_assessed
988,UP232,Shiv Shankar Audhyogik Shikshan Prashikshan Sansthan,"Shiv Shankar Audhyogik Shikshan Prashikshan | Sansthan, | Azamgarh, Uttar Pradesh – 246734",Uttar Pradesh,106,409.67,listed_in_2026-02-04_register; current_activity_not_assessed
989,UP233,Panna Institute of Rehabilitation,"Panna Institute of Rehabilitation, | Farah, Mathura, Uttar Pradesh",Uttar Pradesh,106,452.63,listed_in_2026-02-04_register; current_activity_not_assessed
990,UP234,Shivkumari Special School & Teacher’s Training Centre (Run by Sri Dayal Janhit Shikshan Sansthan) Shubh City,"Shivkumari Special School & Teacher’s | Training Centre | (Run by Sri Dayal Janhit Shikshan Sansthan) Shubh City, | Narauna, Mohaan Road, Lucknow, Uttar Pradesh-226101",Uttar Pradesh,106,495.59,listed_in_2026-02-04_register; current_activity_not_assessed
991,UP235,Sanskriti Rehabilitation Educational Institute (Run by Krishna Jan Kalyan shikshan Sansthan),"Sanskriti Rehabilitation Educational Institute (Run by | Krishna Jan Kalyan shikshan Sansthan), Mainpuri Road, | Aranv, Shikohabad, Firozabad, Uttar Pradesh -283141",Uttar Pradesh,106,558.47,listed_in_2026-02-04_register; current_activity_not_assessed
992,UP236,Maa Gayatri Punarvas Kendra (Run by Shri Deo Gayatri Shikshan Evam Jan Kalyan Samiti Tinhari Parsupur Mau) Rampur Nagar Kshetra Maunath Bhanjan,"Maa Gayatri Punarvas Kendra | (Run by Shri Deo Gayatri Shikshan Evam Jan Kalyan Samiti | Tinhari Parsupur Mau) | Rampur Nagar Kshetra Maunath Bhanjan, Mau, Uttar | Pradesh-275307",Uttar Pradesh,106,610.31,listed_in_2026-02-04_register; current_activity_not_assessed
993,UP237,Yoginath Vidhyapeeth (Run by Saint Yoginath Educational Trust) Sarurpur Kalan,"Yoginath Vidhyapeeth | (Run by Saint Yoginath Educational Trust) Sarurpur Kalan, | Baghpat, Uttar Pradesh-250619",Uttar Pradesh,106,668.39,listed_in_2026-02-04_register; current_activity_not_assessed
994,UP238,Surya Training & Rehabilitaiton Institute,"Surya Training & Rehabilitaiton Institute, | Run by – adarsh Sewa Samiti, | Doora Road Saiyad baba Masjid Ke Pass, Fatehpur Sikari, | Agra, Uttar Pradesh-283110",Uttar Pradesh,106,714.47,listed_in_2026-02-04_register; current_activity_not_assessed
995,UP239,Mahatma Jyotirao Phule Shikshan Prashikshan v Manav Seva Sansthan Maharajganj,"Mahatma Jyotirao Phule Shikshan Prashikshan v Manav | Seva Sansthan | Maharajganj, Azamgarh, Uttar Pradesh-276137",Uttar Pradesh,107,81.23,listed_in_2026-02-04_register; current_activity_not_assessed
996,UP240,Spectrum College of Special Educaiton (Run by Advait Foundation Charitable Trust) Vill- Jamoli,"Spectrum College of Special Educaiton (Run by Advait | Foundation Charitable Trust) | Vill- Jamoli, Post-Kurebhar, Sultanpur, Uttar Pradesh-228151",Uttar Pradesh,107,127.31,listed_in_2026-02-04_register; current_activity_not_assessed
