source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
65,CG011,School of Studies in Psychology Pt. Ravishankar Shukla University,"School of Studies in Psychology Pt. | Ravishankar Shukla University, Raipur, | Chhatisgarh.",Chhattisgarh,8,214.43,listed_in_2026-02-04_register; current_activity_not_assessed
66,CG012,Composite Regional Centre for Skill Development,"Composite Regional Centre for Skill | Development, Rehabilitation & Empowerment of | Persons with Disabilities, Rajnandgaon Old District | Hospital Campus, Rajnand Gaon chhtishgarh",Chhattisgarh,8,258.35,listed_in_2026-02-04_register; current_activity_not_assessed
67,CG013,PIYALI Teacher Training Institute Near Railway Crossing Ward No. 7 Tumgaon Road,"PIYALI Teacher Training Institute | Near Railway Crossing Ward No. 7 Tumgaon Road, | Mahasamund, Chhastisgarh-493445",Chhattisgarh,8,320.51,listed_in_2026-02-04_register; current_activity_not_assessed
68,CG014,Central India Institute G.E. Road Dewada Chowk,"Central India Institute | G.E. Road Dewada Chowk, Kopedih Road, Gram Dewada, | Dist- Rajnandgaon Chhatisgarh-491441",Chhattisgarh,8,354.47,listed_in_2026-02-04_register; current_activity_not_assessed
69,CG015,Shri Rawatpura Sarkar University,"Shri Rawatpura Sarkar University, | Near Shadani Darbar, Dhamtari Road, District- Raipur, | Chhatisgarh",Chhattisgarh,8,395.75,listed_in_2026-02-04_register; current_activity_not_assessed
70,CG016,Amity Institute of Behavioural & Allied Sciences Baloda Bazaar Road,"Amity Institute of Behavioural & Allied Sciences | Baloda Bazaar Road, Raipur chhatisgarh-493225",Chhattisgarh,8,452.27,listed_in_2026-02-04_register; current_activity_not_assessed
71,CG017,All India Institute of Medical Sciences Tatibandh,"All India Institute of Medical Sciences | Tatibandh, G.E. Road, Raipur Chhatisgarh-492099",Chhattisgarh,8,494.03,listed_in_2026-02-04_register; current_activity_not_assessed
72,CG018,Kalinga University Village Kotni,"Kalinga University | Village Kotni, Near Mantralaya, Atal Nagar-Nava Raipur, | Chhattisgarh-492101",Chhattisgarh,8,541.07,listed_in_2026-02-04_register; current_activity_not_assessed
73,DL001,Vardhman Mahavir Medical College,"Vardhman Mahavir Medical College, Department of | Rehabilitation, Safdarjung Hospital, Ansari Nagar, New Delhi- | 16.",Delhi,8,589.19,listed_in_2026-02-04_register; current_activity_not_assessed
74,DL003,The Blind Relief Association,"The Blind Relief Association, | Lal Bahadur Shastri Marg, Near Oberoi Hotel, New Delhi- | 110003",Delhi,8,649.31,listed_in_2026-02-04_register; current_activity_not_assessed
75,DL005,Tamana Association (School of Hope),"Tamana Association (School of Hope), CPWD Complex, | (Near Chinmaya Vidyalay), Vasant Vihar, New Delhi – | 110057.",Delhi,8,706.79,listed_in_2026-02-04_register; current_activity_not_assessed
76,DL007,"Y.M.C.A., Teachers Training Institute for Special Education","Y.M.C.A., Teachers Training Institute for Special | Education, Nizamuddin East, New Delhi – 110013",Delhi,9,187.79,listed_in_2026-02-04_register; current_activity_not_assessed
77,DL008,Amar Jyoti Rehabilitation and Research Centre Karkardooma,"Amar Jyoti Rehabilitation and Research Centre | Karkardooma, Vikas Marg, Delhi –110 0 92",Delhi,9,255.71,listed_in_2026-02-04_register; current_activity_not_assessed
78,DL009,Teachers Training Institute for Special Education (DSWSC),"Teachers Training Institute for Special Education | (DSWSC), Okhla Centre, Opposite Holy Family Hospital, | Okhla Marg, New Delhi- 110025",Delhi,9,422.87,listed_in_2026-02-04_register; current_activity_not_assessed
79,DL011,Jamia Millia Islamia,"Jamia Millia Islamia, | IASE, Deptt. of Teacher Training & Non Formal Education, | Faculty of Education, New Delhi-110 025",Delhi,9,493.91,listed_in_2026-02-04_register; current_activity_not_assessed
80,DL012,C.B.S. Memorial Mahila,"C.B.S. Memorial Mahila, Bal Evam Shravan Viklang | Shiksha Evam Punarvas Sansthan, 48, Hasanpur, I.P. | Extension, Delhi -110092",Delhi,9,740.03,listed_in_2026-02-04_register; current_activity_not_assessed
81,DL013,Action For Autism,"Action For Autism, | Pocket 7 & 8, Jasola Vihar, Behind Sai Niketan, New Delhi- | 110 025",Delhi,10,107.87,listed_in_2026-02-04_register; current_activity_not_assessed
82,DL014,Indian Spinal Injuries Centre,"Indian Spinal Injuries Centre, Institute of Health and | Rehabilitation Sciences, Sector – C, Vasant Kunj, New | Delhi - 110070",Delhi,10,194.63,listed_in_2026-02-04_register; current_activity_not_assessed
83,DL016,Pandit Deendayal Upadhayaya Institute for the Physically Handicapped 4,"Pandit Deendayal Upadhayaya Institute for the Physically | Handicapped | 4, Vishnu Digamber Marg, New Delhi- 110 002",Delhi,10,290.27,listed_in_2026-02-04_register; current_activity_not_assessed
84,DL017,Lady Irwin College,"Lady Irwin College, | Sikandra Road, New Delhi-110001",Delhi,10,396.83,listed_in_2026-02-04_register; current_activity_not_assessed
85,DL018,Akshay Pratishthan,"Akshay Pratishthan, | D- III, Vasant Kunj, New Delhi-110070",Delhi,10,456.95,listed_in_2026-02-04_register; current_activity_not_assessed
86,DL019,Institute of Human Behaviour & Allied Sciences (IHBAS),"Institute of Human Behaviour & Allied Sciences (IHBAS), | P.O. Box no. 9520, Dilshad Garden, Delhi – 110095",Delhi,10,500.87,listed_in_2026-02-04_register; current_activity_not_assessed
87,DL020,Durgabai Deshmukh College of Special Education,"Durgabai Deshmukh College of Special Education, (Visual | Impairment) The Blind Relief Association, Lal Bahadur Shastri | Marg, Near Hotel | Oberoi, New Delhi-13",Delhi,10,585.59,listed_in_2026-02-04_register; current_activity_not_assessed
88,DL021,Manovikas Comprehensive Rehabilitation and Research Centre,"Manovikas Comprehensive Rehabilitation and Research | Centre, 60A Radhey Puri Extn-1, Swami Dayanand Marg, | Near Jagat Puri Crossing, Delhi – 110051",Delhi,10,657.23,listed_in_2026-02-04_register; current_activity_not_assessed
89,DL022,Vision Institute of Advanced Studies,"Vision Institute of Advanced Studies, | Plot No. 4, Pocket A-1, Sector -8, Rohini, Delhi – 110085",Delhi,10,730.43,listed_in_2026-02-04_register; current_activity_not_assessed
90,DL025,Dr. Ram Manohar Lohia Hospital,"Dr. Ram Manohar Lohia Hospital, | Baba Kharag Singh Marg, New Delhi – 110001 ( DHLS Study | Center of AIISH, Mysore)",Delhi,11,221.27,listed_in_2026-02-04_register; current_activity_not_assessed
91,DL026,Savitribai Phule National Institute of Women and Child Development,"Savitribai Phule National Institute of Women and Child | Development, | 5, Siri institutional Area, Hauz Khas, New Delhi – 110016",Delhi,11,327.47,listed_in_2026-02-04_register; current_activity_not_assessed
92,DL028,Ashtavakra Institute of Rehabilitation Sciences & Research,"Ashtavakra Institute of Rehabilitation Sciences & | Research, | 4/1, Block-A, Institutional Area, Madhuban Chowk, Rohini, | Delhi-110085 | Ph-",Delhi,11,394.43,listed_in_2026-02-04_register; current_activity_not_assessed
93,DL029,"K.S. MEMORIAL, R1-R2","K.S. MEMORIAL, | R1-R2, East Vinod Nagar, Khichdipur main road, Delhi-91 | Regd.&PO Add.: M-124, R.K.VIHAR, I.P.EXTN., DELHI-92.",Delhi,11,563.15,listed_in_2026-02-04_register; current_activity_not_assessed
94,DL030,Viklang Avam Punarvas Kendra 218,"Viklang Avam Punarvas Kendra | 218, Razapur, Behind Prem Kuteer Appartments, Sector -09, | Rohini, Delhi – 110085",Delhi,11,694.31,listed_in_2026-02-04_register; current_activity_not_assessed
