institute_code,prior_label,final_label,source_page,change_reason
RJ218,Shiv Vidya Mandir Near Near Sindhi Mohala,Shiv Vidya Mandir Near Near Sindhi Mohala,71,normalized label matched source text
RJ219,Tagore Public Isitep College Plot No. 06,Tagore Public Isitep College Plot No. 06,71,normalized label matched source text
RJ220,M.B.D. Memorial College Tilak Nagar,M.B.D. Memorial College Tilak Nagar,72,normalized label matched source text
RJ221,Nehru Special Teacher Training College Churu Rajasthan Babosa Murti Ke Pass Near Career College,Nehru Special Teacher Training College Churu Rajasthan Babosa Murti Ke Pass Near Career College,72,normalized label matched source text
RJ222,Bhagwani Devi Divyang Isitep College Karni Coach Udairamsar,Bhagwani Devi Divyang Isitep College Karni Coach Udairamsar,72,normalized label matched source text
RJ223,New Indian Special Teacher Training College VPO- Dundpd,New Indian Special Teacher Training College VPO- Dundpd,72,normalized label matched source text
RJ224,Deep Foundation and Special T.T. College Jodhpur 124 Ashapurna Nagar Opp. D.P.S. Pal Road,Deep Foundation and Special T.T. College Jodhpur 124 Ashapurna Nagar Opp. D.P.S. Pal Road,72,normalized label matched source text
RJ225,KISHAN JAN KALYAN SHIKSHAN SANSTHAN,KISHAN JAN KALYAN SHIKSHAN SANSTHAN,72,normalized label matched source text
RJ226,S.S SPECIAL TEACHER TRAINING COLLEGE,S.S SPECIAL TEACHER TRAINING COLLEGE,72,normalized label matched source text
RJ227,SHEKHAWATI SHIKSHAN SANSTHAN DIVYANG ISITEP COLLEGE TEHANDESAR BIDASAR,SHEKHAWATI SHIKSHAN SANSTHAN DIVYANG ISITEP COLLEGE TEHANDESAR BIDASAR,72,normalized label matched source text
RJ228,Sharda Special Education College Peeplu,Sharda Special Education College Peeplu,72,normalized label matched source text
RJ229,MARUBHUMI TEACHER TRAINING COLLEGE,MARUBHUMI TEACHER TRAINING COLLEGE,72,normalized label matched source text
RJ230,Dhattarwal College of Education,Dhattarwal College of Education,72,normalized label matched source text
RJ231,Health Welfare Sansthan,Health Welfare Sansthan,72,normalized label matched source text
RJ232,SARSWATI SPECIAL TEACHER TRANING COLLEGE JHALRAPATAN,SARSWATI SPECIAL TEACHER TRANING COLLEGE JHALRAPATAN,72,normalized label matched source text
RJ233,KESHAV SPECIAL TEACHER TRAINING CENTER,KESHAV SPECIAL TEACHER TRAINING CENTER,72,normalized label matched source text
RJ234,Society for Education for Differently Abled -SEDA,Society for Education for Differently Abled -SEDA,72,normalized label matched source text
RJ235,NARAYAN JAN KALYAN SEWA SANSTHAN,NARAYAN JAN KALYAN SEWA SANSTHAN,72,normalized label matched source text
RJ236,SHREE KRISHNA SPECIAL COLLEGE DEH,SHREE KRISHNA SPECIAL COLLEGE DEH,73,normalized label matched source text
RJ237,JAI MINESH ADIVASI UNIVERSITY (All India Shree Meena Social and Educational Society) In front of IIIT,JAI MINESH ADIVASI UNIVERSITY (All India Shree Meena Social and Educational Society) In front of IIIT,73,normalized label matched source text
RJ238,SHAKTI SARASWATI SPECIAL TEACHER TRAINING COLLEGE (run by Adarsh Vidyaniketan Sansthan) Training College Sardarshahar,SHAKTI SARASWATI SPECIAL TEACHER TRAINING COLLEGE (run by Adarsh Vidyaniketan Sansthan) Training College Sardarshahar,73,normalized label matched source text
RJ239,SUBODH SIKSHAN SANSTHAN Special ISITEP College KANUTA,SUBODH SIKSHAN SANSTHAN Special ISITEP College KANUTA,73,normalized label matched source text
RJ240,GRAMOTTHAN SPECIAL TEACHER TRAINING COLLEGE,GRAMOTTHAN SPECIAL TEACHER TRAINING COLLEGE,73,normalized label matched source text
RJ241,K D SPECIAL EDUCATION COLLEGE,K D SPECIAL EDUCATION COLLEGE,73,normalized label matched source text
SK001,Sikkim Alpine University,Sikkim Alpine University,73,normalized label matched source text
SK002,Composite Regional Centre for Skill Development,Composite Regional Centre for Skill Development,73,normalized label matched source text
SK003,Medhavi Skill University (Sikkim) Topakhani,Medhavi Skill University (Sikkim) Topakhani,73,normalized label matched source text
SK004,Pannadhay University,Pannadhay University,73,normalized label matched source text
TN001,SCHIEFFELIN INSTITUTE OF HEALTH RESEARCH AND LEPROSY CENTRE,SCHIEFFELIN INSTITUTE OF HEALTH RESEARCH AND LEPROSY CENTRE,73,normalized label matched source text
TN002,Faculty of Disability Management and Special Education,Faculty of Disability Management and Special Education,73,normalized label matched source text
TN004,The Clarke School for the Deaf,The Clarke School for the Deaf,74,normalized label matched source text
TN006,Spastic Society of Tamil Nadu,Spastic Society of Tamil Nadu,74,normalized label matched source text
TN008,Bala Vihar Training School,Bala Vihar Training School,75,normalized label matched source text
TN011,S.B.T. College of Special Education Anbagam extension,S.B.T. College of Special Education Anbagam extension,75,normalized label matched source text
TN012,Holy Cross College,Holy Cross College,75,normalized label matched source text
TN013,Christian Medical College,Christian Medical College,75,normalized label matched source text
TN014,Avinashlingam Institute for Home Science & Higher Education for Women,Avinashlingam Institute for Home Science & Higher Education for Women,75,normalized label matched source text
TN015,Sri Ramachandra Institute of Higher Educaiton and Research (Deemed to be University) Dept. of Clinical Psychology,Sri Ramachandra Institute of Higher Educaiton and Research (Deemed to be University) Dept. of Clinical Psychology,76,normalized label matched source text
TN017,1st Bala Vidyalaya Institute for Teachers Training,Bala Vidyalaya Institute for Teachers Training,76,corrected from source name/address column
TN018,3rd Vijay Human Services,Vijay Human Services,76,corrected from source name/address column
TN020,N.K.T National College of Education for Women,N.K.T National College of Education for Women,76,normalized label matched source text
TN021,Mrs. Ann Fischer Memorial Training Institute for Special Education,Mrs. Ann Fischer Memorial Training Institute for Special Education,76,normalized label matched source text
TN023,National Institute for Empowerment of Persons with Multiple Disabilities,National Institute for Empowerment of Persons with Multiple Disabilities,76,normalized label matched source text
TN024,Vidya Sagar (Formerly,Vidya Sagar (Formerly,77,normalized label matched source text
TN025,National Institute for the Visually Handicapped,National Institute for the Visually Handicapped,77,normalized label matched source text
TN027,SRM Medical College Hospital & Research Centre,SRM Medical College Hospital & Research Centre,77,normalized label matched source text
TN028,Indira Gandhi College of Special Education (Mary Kanagam Memorial Educational Trust) Holy Cross Campus,Indira Gandhi College of Special Education (Mary Kanagam Memorial Educational Trust) Holy Cross Campus,77,normalized label matched source text
TN032,Madras ENT Research Foundation Charitable Trust MERF Institute of Speech & Hearing (A Unit of Madras ENT 1st Research Foundation (P). Ltd.)No. 1,Madras ENT Research Foundation Charitable Trust MERF Institute of Speech & Hearing (A Unit of Madras ENT Research Foundation (P). Ltd.),78,corrected from source name/address column
TN037,School of prosthetics & Orthotics,School of prosthetics & Orthotics,78,normalized label matched source text
TN038,C.S.I. Balar Gnana,C.S.I. Balar Gnana,78,normalized label matched source text
TN042,CSI College of Education,CSI College of Education,78,normalized label matched source text
TN043,Kalaslingam University (Kalaslingam Academy of Research & Education),Kalaslingam University (Kalaslingam Academy of Research & Education),78,normalized label matched source text
TN044,The Spastic Society of Tiruchirapalli No 5 Revival Nagar Ramalinga Nagar South Extension Vayalur Road Tiruchirapalli Tamil Nadu,The Spastic Society of Tiruchirapalli No 5 Revival Nagar Ramalinga Nagar South Extension Vayalur Road Tiruchirapalli Tamil Nadu,78,normalized label matched source text
TN045,Alagappa University,Alagappa University,78,normalized label matched source text
TN046,Department of Education,Department of Education,78,normalized label matched source text
TN047,Paul institute of Special Teacher Training Athiyanthal Village perumbakkam Road,Paul institute of Special Teacher Training Athiyanthal Village perumbakkam Road,78,normalized label matched source text
TN048,3rd Ishwar Institute of Prosthetics & Orthotics,Ishwar Institute of Prosthetics & Orthotics,78,corrected from source name/address column
TN049,Madhuram Narayanan Centre for Exceptional Children,Madhuram Narayanan Centre for Exceptional Children,79,normalized label matched source text
TN050,Amar Seva Sangam,Amar Seva Sangam,79,normalized label matched source text
TN052,Madras Medical College/Government General Hospital,Madras Medical College/Government General Hospital,79,normalized label matched source text
TN053,Dr. MGR Institute of Special Education and Research,Dr. MGR Institute of Special Education and Research,79,normalized label matched source text
TN055,"NETHRODAYA, No. 47/1","NETHRODAYA, No. 47/1",79,normalized label matched source text
TN056,Institute Of Mental Health,Institute Of Mental Health,79,normalized label matched source text
TN057,National Institute For Empowerment of Persons with Multiple Disabilities,National Institute For Empowerment of Persons with Multiple Disabilities,79,normalized label matched source text
TN058,Noorul Islam Centre for Higher Education Kumaracoil,Noorul Islam Centre for Higher Education Kumaracoil,79,normalized label matched source text
TN059,Saveetha Institute of Medical and Technical Sciences (Deemed to be University) No.162,Saveetha Institute of Medical and Technical Sciences (Deemed to be University) No.162,79,normalized label matched source text
TN060,"SANKALP, The Learning Centre & Special Needs School","SANKALP, The Learning Centre & Special Needs School",79,normalized label matched source text
TN061,Composite Regional Centre for Skill Development,Composite Regional Centre for Skill Development,79,normalized label matched source text
TN062,Sree Balaji Medical College and Hospital(SBMCH),Sree Balaji Medical College and Hospital(SBMCH),80,normalized label matched source text
TN063,Nava Jyothi Trust 40,Nava Jyothi Trust 40,80,normalized label matched source text
TN064,Maanavoo Special School and Rehabilitation Center,Maanavoo Special School and Rehabilitation Center,80,normalized label matched source text
TL001,Thakur Hari Prasad Institute of Research & Rehabilitation for the Mentally Handicapped,Thakur Hari Prasad Institute of Research & Rehabilitation for the Mentally Handicapped,80,normalized label matched source text
TL002,National Institute for the Empowerment of Persons with Intellectual disabilities,National Institute for the Empowerment of Persons with Intellectual disabilities,80,normalized label matched source text
TL003,Sweekar Academy of Rehabilitation Sciences,Sweekar Academy of Rehabilitation Sciences,81,normalized label matched source text
TL004,Helen Keller’s Institute of Research and Rehabilitation for the Disabled Children,Helen Keller’s Institute of Research and Rehabilitation for the Disabled Children,81,normalized label matched source text
TL005,Training Centre for Teachers of the Visually Handicapped,Training Centre for Teachers of the Visually Handicapped,81,normalized label matched source text
TL006,Ali Yavar Jung National Institute of Speech and Hearing Disabilities (Divyangjan),Ali Yavar Jung National Institute of Speech and Hearing Disabilities (Divyangjan),81,normalized label matched source text
TL007,Andhra Mahila Sabha College of Teachers Education,Andhra Mahila Sabha College of Teachers Education,82,normalized label matched source text
TL008,"Swayamkrushi, Survey No. 687","Swayamkrushi, Survey No. 687",82,normalized label matched source text
TL009,Durgabai Deshmukh Vocational Training and Rehabilitation Centre for Handicapped,Durgabai Deshmukh Vocational Training and Rehabilitation Centre for Handicapped,82,normalized label matched source text
TL010,Child Guidance Centre,Child Guidance Centre,82,normalized label matched source text
TL013,Sannidhi Center for Life Skills (A Unit of Shankar Foundation),Sannidhi Center for Life Skills (A Unit of Shankar Foundation),82,normalized label matched source text
TL014,DAWN College of Special Education,DAWN College of Special Education,82,normalized label matched source text
TL015,"Ashray Akruti, 8-3-1027/A2","Ashray Akruti, 8-3-1027/A2",82,normalized label matched source text
TL019,Padmanayaka College of Special Education,Padmanayaka College of Special Education,82,normalized label matched source text
